Sound ID,Sound Rank,Loudness,Sharpness,Roughness,Prominence Ratio,Loudness [sones],Sharpness [acum],Roughness [asper],Prominence Ratio [PR],Q1,Q2,Q3,Q4,Loudness Norm,Sharpness Norm,Roughness Norm,Prom Ratio Norm,Q1 Norm,Q2 Norm,Q3 Norm,Q4 Norm,Q1 Ave,Q2 Ave,Q3 Ave,Q4 Ave,Q1 Norm Ave,Q2 Norm Ave,Q3 Norm Ave,Q4 Norm Ave
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5,2.9,6,35,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.224406099,-0.550881819,0.940156171,-0.166686245,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.6,2.8,7,23,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.122340272,-0.604791685,1.541638409,-0.596340345,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,,,,5,-1.204057561,-1.155001925,0.623479632,-0.980716256,-2.581638189,-2.114267939,-2.668737259,-1.240821494,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4,3,4,68,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.336802758,-0.496971952,-0.262808306,1.014862529,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.4,3.2,5.3,38,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.448889642,-0.38915222,0.519118604,-0.05927272,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,1.5,7,1.5,86,-1.204057561,-1.155001925,0.623479632,-0.980716256,-1.739824903,1.659422696,-1.766513902,1.659343678,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.2,1.6,6.2,45,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.897856729,-1.251710079,1.060452619,0.191358838,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,3.8,4.2,5.3,43,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.44904453,0.149946442,0.519118604,0.119749821,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,3,5,3,60,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.898011616,0.581225372,-0.864290544,0.728426462,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,2.5,6,2,76,-1.204057561,-1.155001925,0.623479632,-0.980716256,-1.178616045,1.120324034,-1.465772782,1.301298595,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
