Sound ID,Sound Rank,Loudness,Sharpness,Roughness,Prominence Ratio,Loudness [sones],Sharpness [acum],Roughness [asper],Prominence Ratio [PR],Q1,Q2,Q3,Q4,Loudness Norm,Sharpness Norm,Roughness Norm,Prom Ratio Norm,Q1 Norm,Q2 Norm,Q3 Norm,Q4 Norm
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.1,3.6,5.6,19,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.841735843,-0.173512755,0.699563276,-0.739558378
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6,6,6.2,25,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.785614957,1.120324034,1.060452619,-0.524731328
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,3.8,3.4,4.1,22,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.44904453,-0.281332488,-0.202660082,-0.632144853
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.9,1.7,6.6,13,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.290702929,-1.197800213,1.301045514,-0.954385428
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.5,4,4,56,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.056198329,0.04212671,-0.262808306,0.585208429
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,2.7,3.6,2.8,33,-1.204057561,-1.155001925,0.623479632,-0.980716256,-1.066374273,-0.173512755,-0.984586992,-0.238295262
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.1,2.4,4.8,13,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.280526985,-0.82043115,0.218377485,-0.954385428
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.7,,6,,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.056043442,-2.114267939,0.940156171,-1.419844036
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,1.1,7,1.1,98,-1.204057561,-1.155001925,0.623479632,-0.980716256,-1.964308446,1.659422696,-2.007106797,2.088997778
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.6,2,6.3,6,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.122340272,-1.036070614,1.120600842,-1.205016986
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.4,1.5,6,16,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.0100985,-1.305619946,0.940156171,-0.846971903
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.1,2.4,6.1,18,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.280526985,-0.82043115,1.000304395,-0.775362886
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5,4,5,17,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.224406099,0.04212671,0.338673933,-0.811167395
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.4,2.7,6.1,13,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.0100985,-0.658701551,1.000304395,-0.954385428
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.5,3.3,4.7,41,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.056198329,-0.335242354,0.158229261,0.048140805
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.8,1.9,5.2,23,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.112164328,-1.089980481,0.45897038,-0.596340345
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,3,5.1,3,40,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.898011616,0.635135238,-0.864290544,0.012336296
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,3,5.5,3,69,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.898011616,0.850774703,-0.864290544,1.050667037
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.1,3,4,20,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.280681873,-0.496971952,-0.262808306,-0.70375387
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.4,1.6,6.2,0,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.0100985,-1.251710079,1.060452619,-1.419844036
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,7,1.1,7,1,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.346823815,-1.52125941,1.541638409,-1.384039528
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.3,5.9,3.1,27,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.392768757,1.066414168,-0.80414232,-0.453122312
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.1,2.7,4.5,10,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.280526985,-0.658701551,0.037932813,-1.061798953
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.5,3,5.8,13,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.505010528,-0.496971952,0.819859723,-0.954385428
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,7,7,7,0,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.346823815,1.659422696,1.541638409,-1.419844036
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4,3,5,20,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.336802758,-0.496971952,0.338673933,-0.70375387
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5,3,5,35,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.224406099,-0.496971952,0.338673933,-0.166686245
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.2,,4.7,60,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.224560987,-2.114267939,0.158229261,0.728426462
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.1,2.8,4.6,17,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.280526985,-0.604791685,0.098081037,-0.811167395
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.7,3.4,4.7,19,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.056043442,-0.281332488,0.158229261,-0.739558378
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.6,2.6,5.1,17,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.561131414,-0.712611417,0.398822156,-0.811167395
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.1,4,5,85,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.280681873,0.04212671,0.338673933,1.62353917
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,2.6,2.6,2.6,76,-1.204057561,-1.155001925,0.623479632,-0.980716256,-1.122495159,-0.712611417,-1.104883439,1.301298595
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.2,1.4,6.7,11,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.897856729,-1.359529812,1.361193738,-1.025994445
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.1,1.8,5.4,42,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.280526985,-1.143890347,0.579266828,0.083945313
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.8,1.5,7,8,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.234582043,-1.305619946,1.541638409,-1.133407969
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.6,1.9,6,48,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.122340272,-1.089980481,0.940156171,0.298772363
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,3,3.1,2.7,51,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.898011616,-0.443062086,-1.044735216,0.406185888
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.6,4.7,4.6,42,-1.204057561,-1.155001925,0.623479632,-0.980716256,-7.74437E-05,0.419495773,0.098081037,0.083945313
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,2.3,6.2,1.6,84,-1.204057561,-1.155001925,0.623479632,-0.980716256,-1.290857817,1.228143766,-1.706365678,1.587734662
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4.1,6.1,4.1,21,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.280681873,1.1742339,-0.202660082,-0.667949362
